fecha,rubro,especie,variedad,procedencia,envase,kg_bulto,calidad,tamano,grado,bulto_max,bulto_moda,bulto_min,kilo_max,kilo_moda,kilo_min
2026-09-04,hortalizas,APIO,Prom.Esp.,,,0,,,,0,10000,0,0,1416.67,0
2026-09-04,hortalizas,ARVEJA,,JUJUY,BO,8,1A,MEDIANO,,20000,18000,17000,2500,2250,2125
2026-09-04,hortalizas,ARVEJA,Prom.Esp.,,,0,,,,0,18000,0,0,2250,0
2026-09-04,hortalizas,BATATA,ARAPEY,BRASIL,BO,20,1A,MEDIANO,,30000,29000,26000,1500,1450,1300
2026-09-04,hortalizas,BATATA,ARAPEY,CORDOBA,BO,13,1A,MEDIANO,,15000,13000,12000,1153.85,1000,923.08
2026-09-04,hortalizas,BATATA,BEAUREGARD,S. PEDRO,BO,11,1A,MEDIANO,,22000,21000,19000,2000,1909.09,1727.27
2026-09-04,hortalizas,BATATA,Prom.Esp.,,,0,,,,0,21000,0,0,1453.03,0
2026-09-04,hortalizas,BERENJENA,VTA.MED.LA,SALTA,PE,12,1A,MEDIANO,INV,17000,16000,14000,1416.67,1333.33,1166.67
2026-09-04,hortalizas,BERENJENA,VTA.MED.LA,SALTA,TO,12,1A,MEDIANO,,14000,13000,12000,1166.67,1083.33,1000
2026-09-04,hortalizas,BERENJENA,Prom.Esp.,,,0,,,,0,14500,0,0,1208.33,0
2026-09-04,hortalizas,BERRO,,BS. AS.,AT,1,1A,SIN TAM,,3000,2700,2000,3000,2700,2000
2026-09-04,hortalizas,BERRO,Prom.Esp.,,,0,,,,0,2700,0,0,2700,0
2026-09-04,hortalizas,BROCOLI,,BS. AS.,JA,8,1A,MEDIANO,,13000,12000,11000,1625,1500,1375
2026-09-04,hortalizas,BROCOLI,,BS. AS.,JA,8,1A,MEDIANO,INV,16000,14000,13000,2000,1750,1625
2026-09-04,hortalizas,BROCOLI,,MENDOZA,PE,8,,MEDIANO,,17000,15000,13000,2125,1875,1625
2026-09-04,hortalizas,BROCOLI,Prom.Esp.,,,0,,,,0,13667,0,0,1708.33,0
2026-09-04,hortalizas,BROTE ALFA,,BS. AS.,BO,1,1A,MEDIANO,,11000,9000,8000,11000,9000,8000
2026-09-04,hortalizas,BROTE ALFA,Prom.Esp.,,,0,,,,0,9000,0,0,9000,0
2026-09-04,hortalizas,BROTE SOJA,,BS. AS.,BO,1,1A,,,8000,7500,6000,8000,7500,6000
2026-09-04,hortalizas,BROTE SOJA,Prom.Esp.,,,0,,,,0,7500,0,0,7500,0
2026-09-04,hortalizas,CARDO,,BS. AS.,AT,4,1A,MEDIANO,,7000,5800,5000,1750,1450,1250
2026-09-04,hortalizas,CARDO,Prom.Esp.,,,0,,,,0,5800,0,0,1450,0
2026-09-04,hortalizas,CEB.VERDEO,COLORADA,BS. AS.,AT,1,1A,MEDIANO,,2000,1800,1500,2000,1800,1500
2026-09-04,hortalizas,CEB.VERDEO,COLORADA,BS. AS.,JA,10,1A,MEDIANO,,17000,16000,13000,1700,1600,1300
2026-09-04,hortalizas,CEB.VERDEO,COLORADA,SGO.EST.,AT,1,1A,MEDIANO,,1800,1600,1500,1800,1600,1500
2026-09-04,hortalizas,CEB.VERDEO,Prom.Esp.,,,0,,,,0,6466.7,0,0,1666.67,0
2026-09-04,hortalizas,CEBOLLA,COLORADA,BRASIL,BO,20,1A,MEDIANO,,44000,42000,39000,2200,2100,1950
2026-09-04,hortalizas,CEBOLLA,COLORADA,S.BS.AS.,BO,20,1A,MEDIANO,,36000,31000,30000,1800,1550,1500
2026-09-04,hortalizas,CEBOLLA,COLORADA,S.BS.AS.,BO,20,2A,MEDIANO,,26000,23000,19000,1300,1150,950
2026-09-04,hortalizas,CEBOLLA,OPTIMA,BRASIL,BO,20,1A,MEDIANO,,36000,33000,32000,1800,1650,1600
2026-09-04,hortalizas,CEBOLLA,VALENCIANA,R. NEGRO,BO,20,1A,MEDIANO,,24000,22000,20000,1200,1100,1000
2026-09-04,hortalizas,CEBOLLA,VALENCIANA,S.BS.AS.,BO,20,1A,MEDIANO,,23000,21000,19000,1150,1050,950
2026-09-04,hortalizas,CEBOLLA,VALENCIANA,S.BS.AS.,BO,20,2A,MEDIANO,,16000,14000,13000,800,700,650
2026-09-04,hortalizas,CEBOLLA,Prom.Esp.,,,0,,,,0,26571,0,0,1328.57,0
2026-09-04,hortalizas,CHAUCHA,ESMERALDA,CTES.,TO,10,1A,MEDIANO,INV,18000,17000,15000,1800,1700,1500
2026-09-04,hortalizas,CHAUCHA,ESMERALDA,SALTA,PE,10,1A,MEDIANO,INV,21000,19000,18000,2100,1900,1800
2026-09-04,hortalizas,CHAUCHA,ROLLIZA,SALTA,PE,12,1A,MEDIANO,INV,21000,18000,16000,1750,1500,1333.33
2026-09-04,hortalizas,CHAUCHA,ROLLIZA,SALTA,TO,12,1A,MEDIANO,,15000,13000,12000,1250,1083.33,1000
2026-09-04,hortalizas,CHAUCHA,Prom.Esp.,,,0,,,,0,16750,0,0,1545.83,0
2026-09-04,hortalizas,CHOCLO,AMARILLO,SALTA,PE,15,1A,MEDIANO,PRE,43000,40000,37000,2866.67,2666.67,2466.67
2026-09-04,hortalizas,CHOCLO,AMARILLO,SALTA,PE,15,2A,MEDIANO,PRE,30000,29000,27000,2000,1933.33,1800
2026-09-04,hortalizas,CHOCLO,Prom.Esp.,,,0,,,,0,34500,0,0,2300,0
2026-09-04,hortalizas,CIBOULLE,,BS. AS.,AT,1,1A,MEDIANO,,11000,10000,9000,11000,10000,9000
2026-09-04,hortalizas,CIBOULLE,Prom.Esp.,,,0,,,,0,10000,0,0,10000,0
2026-09-04,hortalizas,CILANDRO,,BS. AS.,AT,1,1A,MEDIANO,,12000,11000,10000,12000,11000,10000
2026-09-04,hortalizas,CILANDRO,Prom.Esp.,,,0,,,,0,11000,0,0,11000,0
2026-09-04,hortalizas,COLIFLOR,,BS. AS.,JA,15,1A,MEDIANO,,18000,17000,15000,1200,1133.33,1000
2026-09-04,hortalizas,COLIFLOR,,MENDOZA,PE,15,1A,MEDIANO,,23000,20000,19000,1533.33,1333.33,1266.67
2026-09-04,hortalizas,COLIFLOR,Prom.Esp.,,,0,,,,0,18500,0,0,1233.33,0
2026-09-04,hortalizas,CURCUMA,SIN VARIED,BRASIL,CA,1,1A,MEDIANO,,5000,4000,3000,5000,4000,3000
2026-09-04,hortalizas,CURCUMA,Prom.Esp.,,,0,,,,0,4000,0,0,4000,0
2026-09-04,hortalizas,ECHALOTE,,MENDOZA,CA,1,1A,,,11000,10000,9000,11000,10000,9000
2026-09-04,hortalizas,ECHALOTE,Prom.Esp.,,,0,,,,0,10000,0,0,10000,0
2026-09-04,hortalizas,ENDIBIA,,BS. AS.,BA,1,1A,MEDIANO,,22000,21000,19000,22000,21000,19000
2026-09-04,hortalizas,ENDIBIA,Prom.Esp.,,,0,,,,0,21000,0,0,21000,0
2026-09-04,hortalizas,ESCAROLA,HOJA ANCHA,BS. AS.,TT,5,1A,,,7000,6500,5000,1400,1300,1000
2026-09-04,hortalizas,ESCAROLA,HOJA FINA,BS. AS.,TT,5,1A,,,8000,7000,6000,1600,1400,1200
2026-09-04,hortalizas,ESCAROLA,Prom.Esp.,,,0,,,,0,6750,0,0,1350,0
2026-09-04,hortalizas,ESPARRAGO,VERDE,SAN JUAN,AT,0.5,1A,CHICO,,2500,2200,2000,5000,4400,4000
2026-09-04,hortalizas,ESPARRAGO,VERDE,SAN JUAN,AT,0.5,1A,MEDIANO,,3500,3000,2500,7000,6000,5000
2026-09-04,hortalizas,ESPARRAGO,Prom.Esp.,,,0,,,,0,2600,0,0,5200,0
2026-09-04,hortalizas,ESPINACA,,BS. AS.,JA,5,1A,,,4000,3300,3000,800,660,600
2026-09-04,hortalizas,ESPINACA,,BS. AS.,JA,5,1A,,INV,7000,5500,5000,1400,1100,1000
2026-09-04,hortalizas,ESPINACA,Prom.Esp.,,,0,,,,0,4400,0,0,880,0
2026-09-04,hortalizas,HABA,,JUJUY,BO,10,1A,MEDIANO,,21000,18000,17000,2100,1800,1700
2026-09-04,hortalizas,HABA,Prom.Esp.,,,0,,,,0,18000,0,0,1800,0
2026-09-04,hortalizas,HINOJO,,BS. AS.,JA,15,1A,MEDIANO,,18000,17000,16000,1200,1133.33,1066.67
2026-09-04,hortalizas,HINOJO,Prom.Esp.,,,0,,,,0,17000,0,0,1133.33,0
2026-09-04,hortalizas,HONGOS,AGARICUS,BS. AS.,BO,1,1A,,,20000,19500,19000,20000,19500,19000
2026-09-04,hortalizas,HONGOS,OYSTER,BS. AS.,BA,1,1A,,,22000,21000,19000,22000,21000,19000
2026-09-04,hortalizas,HONGOS,PORTOBELO,BS. AS.,BO,1,1A,,,23000,21000,19000,23000,21000,19000
2026-09-04,hortalizas,HONGOS,SHIITAKE,BS. AS.,BA,1,1A,,,24000,22000,21000,24000,22000,21000
2026-09-04,hortalizas,HONGOS,Prom.Esp.,,,0,,,,0,20875,0,0,20875,0
2026-09-04,hortalizas,JENGIBRE,,BRASIL,BO,1,1A,MEDIANO,,4000,3800,3000,4000,3800,3000
2026-09-04,hortalizas,JENGIBRE,,MISIONES,BO,1,1A,MEDIANO,,4000,3600,3000,4000,3600,3000
2026-09-04,hortalizas,JENGIBRE,Prom.Esp.,,,0,,,,0,3700,0,0,3700,0
2026-09-04,hortalizas,KALE,CRESPO,BS. AS.,AT,1,1A,SIN TAM,VER,1300,1200,1000,1300,1200,1000
2026-09-04,hortalizas,KALE,MORADO,BS. AS.,AT,1,1A,SIN TAM,,1400,1300,1100,1400,1300,1100
2026-09-04,hortalizas,KALE,Prom.Esp.,,,0,,,,0,1250,0,0,1250,0
2026-09-04,hortalizas,LECHUGA,CAPUCHINA,BS. AS.,JA,12,1A,MEDIANO,,12000,11000,9000,1000,916.67,750
2026-09-04,hortalizas,LECHUGA,CAPUCHINA,MENDOZA,PE,15,1A,MEDIANO,,15000,14000,12000,1000,933.33,800
2026-09-04,hortalizas,LECHUGA,CAPUCHINA,SANTA FE,JA,12,1A,MEDIANO,,12000,10000,9000,1000,833.33,750
2026-09-04,hortalizas,LECHUGA,CAPUCHINA,SGO.EST.,PE,15,1A,MEDIANO,,14000,13000,11000,933.33,866.67,733.33
2026-09-04,hortalizas,LECHUGA,CRIOLLA,BS. AS.,JA,8,1A,GRANDE,INV,8000,7500,6000,1000,937.5,750
2026-09-04,hortalizas,LECHUGA,CRIOLLA,BS. AS.,JA,8,1A,MEDIANO,INV,6000,5500,4000,750,687.5,500
2026-09-04,hortalizas,LECHUGA,CRIOLLA,SANTA FE,JA,12,1A,MEDIANO,,10000,9000,8000,833.33,750,666.67
2026-09-04,hortalizas,LECHUGA,MANTECOSA,BS. AS.,JA,5,1A,GRANDE,INV,9000,8000,7000,1800,1600,1400
2026-09-04,hortalizas,LECHUGA,MANTECOSA,BS. AS.,JA,5,1A,MEDIANO,INV,7000,6500,5000,1400,1300,1000
2026-09-04,hortalizas,LECHUGA,Prom.Esp.,,,0,,,,0,9388.9,0,0,980.56,0
2026-09-04,hortalizas,MANDIOCA,,MISIONES,BO,40,1A,GRANDE,,28000,27000,25000,700,675,625
2026-09-04,hortalizas,MANDIOCA,Prom.Esp.,,,0,,,,0,27000,0,0,675,0
2026-09-04,hortalizas,MENTA,,BS. AS.,AT,1,1A,MEDIANO,,10000,9000,8000,10000,9000,8000
2026-09-04,hortalizas,MENTA,Prom.Esp.,,,0,,,,0,9000,0,0,9000,0
2026-09-04,hortalizas,NABO,BLANCO,BS. AS.,AT,3,1A,MEDIANO,,5000,4000,3000,1666.67,1333.33,1000
2026-09-04,hortalizas,NABO,Prom.Esp.,,,0,,,,0,4000,0,0,1333.33,0
2026-09-04,hortalizas,OREGANO,,BS. AS.,BO,1,1A,,,10000,9500,9000,10000,9500,9000
2026-09-04,hortalizas,OREGANO,Prom.Esp.,,,0,,,,0,9500,0,0,9500,0
2026-09-04,hortalizas,PACK CHOY,,BS. AS.,BA,3,1A,,,9000,8500,7000,3000,2833.33,2333.33
